,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
COL8A1,ENSG00000144810,Gene Expression,GRCh38,6.0,COL8A1,6
SEMA6A,ENSG00000092421,Gene Expression,GRCh38,1382.0,SEMA6A,1315
INHBB,ENSG00000163083,Gene Expression,GRCh38,11.0,INHBB,11
C4orf36,ENSG00000163633,Gene Expression,GRCh38,6.0,C4orf36,6
EFNB1,ENSG00000090776,Gene Expression,GRCh38,4097.0,EFNB1,3877
MSLN,ENSG00000102854,Gene Expression,GRCh38,3.0,MSLN,3
PLK5,ENSG00000185988,Gene Expression,GRCh38,9.0,PLK5,9
AGA,ENSG00000038002,Gene Expression,GRCh38,1280.0,AGA,1227
RABGGTA,ENSG00000100949,Gene Expression,GRCh38,1173.0,RABGGTA,1144
CCDC113,ENSG00000103021,Gene Expression,GRCh38,268.0,CCDC113,260
LINC01134,ENSG00000236423,Gene Expression,GRCh38,12.0,LINC01134,12
MORN1,ENSG00000116151,Gene Expression,GRCh38,38.0,MORN1,38
BOK,ENSG00000176720,Gene Expression,GRCh38,150.0,BOK,145
CLN6,ENSG00000128973,Gene Expression,GRCh38,45.0,CLN6,42
KLC3,ENSG00000104892,Gene Expression,GRCh38,14.0,KLC3,14
TP63,ENSG00000073282,Gene Expression,GRCh38,391.0,TP63,383
ELOVL5,ENSG00000012660,Gene Expression,GRCh38,3103.0,ELOVL5,2982
FCGR3A,ENSG00000203747,Gene Expression,GRCh38,12.0,FCGR3A,12
ADIPOR1,ENSG00000159346,Gene Expression,GRCh38,3237.0,ADIPOR1,3095
FSIP1,ENSG00000150667,Gene Expression,GRCh38,3.0,FSIP1,3
AC244197.3,ENSG00000241489,Gene Expression,GRCh38,1.0,AC244197.3,1
SUN2,ENSG00000100242,Gene Expression,GRCh38,1463.0,SUN2,1427
C5orf47,ENSG00000185056,Gene Expression,GRCh38,10.0,C5orf47,10
AC005498.3,ENSG00000269696,Gene Expression,GRCh38,6.0,AC005498.3,6
IGFBP2,ENSG00000115457,Gene Expression,GRCh38,61.0,IGFBP2,59
AL928654.1,ENSG00000251602,Gene Expression,GRCh38,11.0,AL928654.1,11
IER3IP1,ENSG00000134049,Gene Expression,GRCh38,1735.0,IER3IP1,1686
AC069234.2,ENSG00000256364,Gene Expression,GRCh38,41.0,AC069234.2,41
TMEM266,ENSG00000169758,Gene Expression,GRCh38,107.0,TMEM266,107
TRMT112,ENSG00000173113,Gene Expression,GRCh38,6372.0,TRMT112,5804
GRPEL2,ENSG00000164284,Gene Expression,GRCh38,1034.0,GRPEL2,1008
ZNF236,ENSG00000130856,Gene Expression,GRCh38,376.0,ZNF236,362
FNTA,ENSG00000168522,Gene Expression,GRCh38,2357.0,FNTA,2258
ASPM,ENSG00000066279,Gene Expression,GRCh38,72.0,ASPM,69
TALDO1,ENSG00000177156,Gene Expression,GRCh38,14047.0,TALDO1,12253
PRR29,ENSG00000224383,Gene Expression,GRCh38,2.0,PRR29,2
AL358072.1,ENSG00000271427,Gene Expression,GRCh38,5.0,AL358072.1,5
AFAP1-AS1,ENSG00000272620,Gene Expression,GRCh38,10.0,AFAP1-AS1,10
TENM1,ENSG00000009694,Gene Expression,GRCh38,1.0,TENM1,1
AC066613.1,ENSG00000259668,Gene Expression,GRCh38,1.0,AC066613.1,1
ZWILCH,ENSG00000174442,Gene Expression,GRCh38,341.0,ZWILCH,335
MZF1-AS1,ENSG00000267858,Gene Expression,GRCh38,96.0,MZF1-AS1,94
FP565260.1,ENSG00000275464,Gene Expression,GRCh38,34.0,FP565260.1,34
LINC01572,ENSG00000261008,Gene Expression,GRCh38,4.0,LINC01572,4
HP1BP3,ENSG00000127483,Gene Expression,GRCh38,5140.0,HP1BP3,4739
RICTOR,ENSG00000164327,Gene Expression,GRCh38,1464.0,RICTOR,1412
STT3A,ENSG00000134910,Gene Expression,GRCh38,2848.0,STT3A,2764
MOK,ENSG00000080823,Gene Expression,GRCh38,49.0,MOK,49
MCL1,ENSG00000143384,Gene Expression,GRCh38,5020.0,MCL1,4777
TIMM9,ENSG00000100575,Gene Expression,GRCh38,842.0,TIMM9,816
ATG3,ENSG00000144848,Gene Expression,GRCh38,1869.0,ATG3,1803
INSL5,ENSG00000172410,Gene Expression,GRCh38,0.0,INSL5,0
AL451137.1,ENSG00000254261,Gene Expression,GRCh38,2.0,AL451137.1,2
XPNPEP2,ENSG00000122121,Gene Expression,GRCh38,37.0,XPNPEP2,37
AC009139.1,ENSG00000260922,Gene Expression,GRCh38,1.0,AC009139.1,1
DBR1,ENSG00000138231,Gene Expression,GRCh38,312.0,DBR1,305
BRI3BP,ENSG00000184992,Gene Expression,GRCh38,471.0,BRI3BP,456
AC145422.1,ENSG00000256742,Gene Expression,GRCh38,1.0,AC145422.1,1
BICD1,ENSG00000151746,Gene Expression,GRCh38,5.0,BICD1,5
SRPK1,ENSG00000096063,Gene Expression,GRCh38,2414.0,SRPK1,2310
FAM84A,ENSG00000162981,Gene Expression,GRCh38,214.0,FAM84A,210
SCO2,ENSG00000130489,Gene Expression,GRCh38,1.0,SCO2,1
TMEM223,ENSG00000168569,Gene Expression,GRCh38,454.0,TMEM223,435
AC073218.2,ENSG00000272027,Gene Expression,GRCh38,1.0,AC073218.2,1
ATRNL1,ENSG00000107518,Gene Expression,GRCh38,1.0,ATRNL1,1
PRICKLE1,ENSG00000139174,Gene Expression,GRCh38,8.0,PRICKLE1,7
COX16,ENSG00000133983,Gene Expression,GRCh38,1206.0,COX16,1177
MRE11,ENSG00000020922,Gene Expression,GRCh38,370.0,MRE11,367
MYO18A,ENSG00000196535,Gene Expression,GRCh38,529.0,MYO18A,515
AC093732.2,ENSG00000272814,Gene Expression,GRCh38,1.0,AC093732.2,1
PFKFB2,ENSG00000123836,Gene Expression,GRCh38,176.0,PFKFB2,176
AC034226.1,ENSG00000248533,Gene Expression,GRCh38,1.0,AC034226.1,1
BST1,ENSG00000109743,Gene Expression,GRCh38,607.0,BST1,587
PARP15,ENSG00000173200,Gene Expression,GRCh38,1.0,PARP15,1
UBB,ENSG00000170315,Gene Expression,GRCh38,28329.0,UBB,22211
RIC3,ENSG00000166405,Gene Expression,GRCh38,8.0,RIC3,8
IGBP1-AS2,ENSG00000220925,Gene Expression,GRCh38,1.0,IGBP1-AS2,1
AC016590.1,ENSG00000267605,Gene Expression,GRCh38,3.0,AC016590.1,3
TCEAL3-AS1,ENSG00000224031,Gene Expression,GRCh38,1.0,TCEAL3-AS1,1
ATP13A4,ENSG00000127249,Gene Expression,GRCh38,19.0,ATP13A4,19
AGO1,ENSG00000092847,Gene Expression,GRCh38,315.0,AGO1,310
CENPV,ENSG00000166582,Gene Expression,GRCh38,30.0,CENPV,29
CD302,ENSG00000241399,Gene Expression,GRCh38,688.0,CD302,656
ZNF512,ENSG00000243943,Gene Expression,GRCh38,47.0,ZNF512,47
AL353751.1,ENSG00000232110,Gene Expression,GRCh38,1.0,AL353751.1,1
RNF175,ENSG00000145428,Gene Expression,GRCh38,2.0,RNF175,2
SLC35B1,ENSG00000121073,Gene Expression,GRCh38,1618.0,SLC35B1,1509
METAP1D,ENSG00000172878,Gene Expression,GRCh38,54.0,METAP1D,52
AC116049.2,ENSG00000249413,Gene Expression,GRCh38,1.0,AC116049.2,1
ACAP2,ENSG00000114331,Gene Expression,GRCh38,1808.0,ACAP2,1734
STX2,ENSG00000111450,Gene Expression,GRCh38,444.0,STX2,422
ARHGAP26-AS1,ENSG00000226272,Gene Expression,GRCh38,5.0,ARHGAP26-AS1,4
AC087749.1,ENSG00000264270,Gene Expression,GRCh38,1.0,AC087749.1,1
MRPL14,ENSG00000180992,Gene Expression,GRCh38,3815.0,MRPL14,3596
AL354696.2,ENSG00000278390,Gene Expression,GRCh38,19.0,AL354696.2,19
AC023389.1,ENSG00000263657,Gene Expression,GRCh38,2.0,AC023389.1,2
SKIV2L,ENSG00000204351,Gene Expression,GRCh38,466.0,SKIV2L,455
DAGLB,ENSG00000164535,Gene Expression,GRCh38,359.0,DAGLB,353
C19orf25,ENSG00000119559,Gene Expression,GRCh38,823.0,C19orf25,809
AC021491.1,ENSG00000249451,Gene Expression,GRCh38,1.0,AC021491.1,1
MKX-AS1,ENSG00000230500,Gene Expression,GRCh38,1.0,MKX-AS1,1
LINC02310,ENSG00000258808,Gene Expression,GRCh38,1.0,LINC02310,1
PSMC3IP,ENSG00000131470,Gene Expression,GRCh38,247.0,PSMC3IP,224
FAHD2A,ENSG00000115042,Gene Expression,GRCh38,377.0,FAHD2A,371
MUL1,ENSG00000090432,Gene Expression,GRCh38,798.0,MUL1,773
PAXBP1,ENSG00000159086,Gene Expression,GRCh38,871.0,PAXBP1,839
RCBTB1,ENSG00000136144,Gene Expression,GRCh38,187.0,RCBTB1,184
AL049812.3,ENSG00000228959,Gene Expression,GRCh38,1.0,AL049812.3,1
AC068491.3,ENSG00000270190,Gene Expression,GRCh38,15.0,AC068491.3,15
LEPROT,ENSG00000213625,Gene Expression,GRCh38,5322.0,LEPROT,4974
PDGFRA,ENSG00000134853,Gene Expression,GRCh38,44.0,PDGFRA,44
SPATA6,ENSG00000132122,Gene Expression,GRCh38,11.0,SPATA6,11
GPC5,ENSG00000179399,Gene Expression,GRCh38,1.0,GPC5,1
RAD51AP2,ENSG00000214842,Gene Expression,GRCh38,2.0,RAD51AP2,2
PALM,ENSG00000099864,Gene Expression,GRCh38,32.0,PALM,30
JAG2,ENSG00000184916,Gene Expression,GRCh38,505.0,JAG2,489
NALCN-AS1,ENSG00000233009,Gene Expression,GRCh38,3.0,NALCN-AS1,3
AL009178.3,ENSG00000285212,Gene Expression,GRCh38,18.0,AL009178.3,18
SLFN5,ENSG00000166750,Gene Expression,GRCh38,2260.0,SLFN5,2154
FGG,ENSG00000171557,Gene Expression,GRCh38,3.0,FGG,3
AL590644.3,ENSG00000282843,Gene Expression,GRCh38,1.0,AL590644.3,1
AP000320.1,ENSG00000225555,Gene Expression,GRCh38,2.0,AP000320.1,2
AC113194.1,ENSG00000272457,Gene Expression,GRCh38,1.0,AC113194.1,1
GPR156,ENSG00000175697,Gene Expression,GRCh38,10.0,GPR156,10
FCRL2,ENSG00000132704,Gene Expression,GRCh38,5.0,FCRL2,5
LHFPL1,ENSG00000182508,Gene Expression,GRCh38,1.0,LHFPL1,1
RGS10,ENSG00000148908,Gene Expression,GRCh38,4069.0,RGS10,3768
AC073842.2,ENSG00000242798,Gene Expression,GRCh38,6.0,AC073842.2,5
NPHP3-AS1,ENSG00000248724,Gene Expression,GRCh38,9.0,NPHP3-AS1,9
AC004233.4,ENSG00000274367,Gene Expression,GRCh38,6.0,AC004233.4,6
AC092979.1,ENSG00000240521,Gene Expression,GRCh38,1.0,AC092979.1,1
VPS16,ENSG00000215305,Gene Expression,GRCh38,886.0,VPS16,874
UPK1A,ENSG00000105668,Gene Expression,GRCh38,20.0,UPK1A,20
SLC13A4,ENSG00000164707,Gene Expression,GRCh38,382.0,SLC13A4,357
LSM10,ENSG00000181817,Gene Expression,GRCh38,1273.0,LSM10,1241
ZMYND19,ENSG00000165724,Gene Expression,GRCh38,419.0,ZMYND19,406
ZNF618,ENSG00000157657,Gene Expression,GRCh38,7.0,ZNF618,7
AC009065.8,ENSG00000261663,Gene Expression,GRCh38,3.0,AC009065.8,3
GPR143,ENSG00000101850,Gene Expression,GRCh38,20.0,GPR143,20
NUBP2,ENSG00000095906,Gene Expression,GRCh38,1389.0,NUBP2,1362
GALNT8,ENSG00000130035,Gene Expression,GRCh38,2.0,GALNT8,2
