,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
RNASEL,ENSG00000135828,Gene Expression,GRCh38,371,401.0,RNASEL,371
COL8A1,ENSG00000144810,Gene Expression,GRCh38,18,18.0,COL8A1,18
TTLL7,ENSG00000137941,Gene Expression,GRCh38,25,25.0,TTLL7,25
INHBB,ENSG00000163083,Gene Expression,GRCh38,42,48.0,INHBB,42
SEMA6A,ENSG00000092421,Gene Expression,GRCh38,1538,2425.0,SEMA6A,1538
PCDHGB5,ENSG00000276547,Gene Expression,GRCh38,4,4.0,PCDHGB5,4
DEF6,ENSG00000023892,Gene Expression,GRCh38,615,676.0,DEF6,615
ICAM3,ENSG00000076662,Gene Expression,GRCh38,629,714.0,ICAM3,629
MFSD14C,ENSG00000196312,Gene Expression,GRCh38,936,1112.0,MFSD14C,936
ABCC9,ENSG00000069431,Gene Expression,GRCh38,6,6.0,ABCC9,6
GSTO1,ENSG00000148834,Gene Expression,GRCh38,2084,3479.0,GSTO1,2084
PPP6C,ENSG00000119414,Gene Expression,GRCh38,1172,1477.0,PPP6C,1172
FAM186A,ENSG00000185958,Gene Expression,GRCh38,4,4.0,FAM186A,4
VWA8,ENSG00000102763,Gene Expression,GRCh38,169,177.0,VWA8,169
EFNB1,ENSG00000090776,Gene Expression,GRCh38,2485,4526.0,EFNB1,2485
ANKRD12,ENSG00000101745,Gene Expression,GRCh38,3233,5624.0,ANKRD12,3233
CSN2,ENSG00000135222,Gene Expression,GRCh38,3,3.0,CSN2,3
FRG1,ENSG00000109536,Gene Expression,GRCh38,1895,2589.0,FRG1,1895
CSTA,ENSG00000121552,Gene Expression,GRCh38,551,639.0,CSTA,551
MSLN,ENSG00000102854,Gene Expression,GRCh38,4,5.0,MSLN,4
AL596223.1,ENSG00000229261,Gene Expression,GRCh38,7,7.0,AL596223.1,7
AC098934.4,ENSG00000260021,Gene Expression,GRCh38,10,10.0,AC098934.4,10
PRSS22,ENSG00000005001,Gene Expression,GRCh38,3276,8112.0,PRSS22,3276
EZH1,ENSG00000108799,Gene Expression,GRCh38,478,527.0,EZH1,478
ZNF391,ENSG00000124613,Gene Expression,GRCh38,125,138.0,ZNF391,125
SLC15A4,ENSG00000139370,Gene Expression,GRCh38,732,825.0,SLC15A4,732
PLEK2,ENSG00000100558,Gene Expression,GRCh38,49,53.0,PLEK2,49
PIGQ,ENSG00000007541,Gene Expression,GRCh38,365,385.0,PIGQ,365
C1QTNF7,ENSG00000163145,Gene Expression,GRCh38,41,42.0,C1QTNF7,41
PGBD5,ENSG00000177614,Gene Expression,GRCh38,8,8.0,PGBD5,8
MAP3K7,ENSG00000135341,Gene Expression,GRCh38,1167,1361.0,MAP3K7,1167
CCDC7,ENSG00000216937,Gene Expression,GRCh38,69,72.0,CCDC7,69
PAM,ENSG00000145730,Gene Expression,GRCh38,4027,10020.0,PAM,4027
AC024337.1,ENSG00000259702,Gene Expression,GRCh38,13,13.0,AC024337.1,13
TCF19,ENSG00000137310,Gene Expression,GRCh38,5,5.0,TCF19,5
PLK5,ENSG00000185988,Gene Expression,GRCh38,48,50.0,PLK5,48
KCTD10,ENSG00000110906,Gene Expression,GRCh38,724,808.0,KCTD10,724
LRP5L,ENSG00000100068,Gene Expression,GRCh38,86,86.0,LRP5L,86
NUDT17,ENSG00000186364,Gene Expression,GRCh38,52,52.0,NUDT17,52
ZNF281,ENSG00000162702,Gene Expression,GRCh38,1288,1650.0,ZNF281,1288
B3GAT2,ENSG00000112309,Gene Expression,GRCh38,118,119.0,B3GAT2,118
