gene_name,uniprot,hgnc_symbol,ensembl
TEX13A,Q9BXU3,TEX13A,ENSG00000268629
LARS2,Q15031,LARS2,ENSG00000011376
TXNDC11,Q6PKC3,TXNDC11,ENSG00000153066
TXK,P42681,TXK,ENSG00000074966
TXLNA,P40222,TXLNA,ENSG00000084652
TXLNB,Q8N3L3,TXLNB,ENSG00000164440
TXNDC2,Q86VQ3,TXNDC2,ENSG00000168454
TXNDC5,Q8NBS9,TXNDC5,ENSG00000239264
TXNDC9,O14530,TXNDC9,ENSG00000115514
TXNL1,O43396,TXNL1,ENSG00000091164
SYPL1,Q16563,SYPL1,ENSG00000008282
TYMS,P04818,TYMS,ENSG00000176890
TYW1,Q9NV66,TYW1,ENSG00000198874
QARS,P47897,QARS,ENSG00000172053
UNC119,Q13432,UNC119,ENSG00000109103
USP17L13,C9JLJ4,USP17L13,ENSG00000232399
USP17L17,D6RBQ6,USP17L17,ENSG00000249104
USP17L18,D6R9N7,USP17L18,ENSG00000250844
USP17L19,D6RCP7,USP17L19,ENSG00000248920
USP17L21,D6R901,USP17L21,ENSG00000249811
SNRNP35,Q16560,SNRNP35,ENSG00000184209
U2AF2,P26368,U2AF2,ENSG00000063244
RARS,P54136,RARS,ENSG00000113643
UBE2Q2L,H0YL09,UBE2Q2L,ENSG00000259511
UBE2QL1,A1L167,UBE2QL1,ENSG00000215218
UACA,Q9BZF9,UACA,ENSG00000137831
UBE2D2,P62837,UBE2D2,ENSG00000131508
UBE2D3,P61077,UBE2D3,ENSG00000109332
UBE2E1,P51965,UBE2E1,ENSG00000170142
UBE2G1,P62253,UBE2G1,ENSG00000132388
UBE2L3,P68036,UBE2L3,ENSG00000185651
UBE2R2,Q712K3,UBE2R2,ENSG00000107341
UBAP1L,F5GYI3,UBAP1L,ENSG00000246922
UBAC1,Q9BSL1,UBAC1,ENSG00000130560
UBAP1,Q9NZ09,UBAP1,ENSG00000165006
UBAP2,Q5T6F2,UBAP2,ENSG00000137073
SARS,P49591,SARS,ENSG00000031698
UBE2A,P49459,UBE2A,ENSG00000077721
UBE2B,P63146,UBE2B,ENSG00000119048
UBE2N,P61088,UBE2N,ENSG00000177889
UBE2S,Q16763,UBE2S,ENSG00000108106
UBE2T,Q9NPD8,UBE2T,ENSG00000077152
UBE2Z,Q9H832,UBE2Z,ENSG00000159202
UBE3A,Q05086,UBE3A,ENSG00000114062
UBE3B,Q7Z3V4,UBE3B,ENSG00000151148
UBE3C,Q15386,UBE3C,ENSG00000009335
UBE3D,Q7Z6J8,UBE3D,ENSG00000118420
UBE4A,Q14139,UBE4A,ENSG00000110344
UBE4B,O95155,UBE4B,ENSG00000130939
UBTF,P17480,UBTF,ENSG00000108312
UBFD1,O14562,UBFD1,ENSG00000103353
UBTFL1,P0CB47,UBTFL1,ENSG00000255009
UBIAD1,Q9Y5Z9,UBIAD1,ENSG00000120942
STK32A,Q8WU08,STK32A,ENSG00000169302
STX3,Q13277,STX3,ENSG00000166900
STX17,P56962,STX17,ENSG00000136874
STX4,Q12846,STX4,ENSG00000103496
STX19,Q8N4C7,STX19,ENSG00000178750
TTI2,Q6NXR4,TTI2,ENSG00000129696
TTK,P33981,TTK,ENSG00000112742
TTLL10,Q6ZVT0,TTLL10,ENSG00000162571
TTLL1,O95922,TTLL1,ENSG00000100271
TTLL4,Q14679,TTLL4,ENSG00000135912
TTLL5,Q6EMB2,TTLL5,ENSG00000119685
TTLL9,Q3SXZ7,TTLL9,ENSG00000131044
TTPAL,Q9BTX7,TTPAL,ENSG00000124120
TTPA,P49638,TTPA,ENSG00000137561
TRBV19,A0A075B6N1,TRBV19,ENSG00000282621
TRBV19,A0A075B6N1,TRBV19,ENSG00000211746
TRBV27,A0A0K0K1C4,TRBV27,ENSG00000282234
TRBV27,A0A0K0K1C4,TRBV27,ENSG00000211752
TRBV3-1,A0A576,TRBV3-1,ENSG00000282624
TRBV3-1,A0A576,TRBV3-1,ENSG00000237702
TRBV5-4,A0A0C4DH59,TRBV5-4,ENSG00000282466
TRBV5-4,A0A0C4DH59,TRBV5-4,ENSG00000230099
IARS,P41252,IARS,ENSG00000196305
TRBV6-4,A0A1B0GX49,TRBV6-4,ENSG00000282240
TRBV6-4,A0A1B0GX49,TRBV6-4,ENSG00000211713
TRBV7-7,A0A0K0K1E9,TRBV7-7,ENSG00000282179
TRBV7-7,A0A0K0K1E9,TRBV7-7,ENSG00000253291
