uniprot	Entry	gene_name
P01611	KVD12_HUMAN	IGKV1D-12
P01615	KVD28_HUMAN	IGKV2D-28
Q15334	L2GL1_HUMAN	LLGL1
Q6ZP29	LAAT1_HUMAN	PQLC2
Q9GZZ8	LACRT_HUMAN	LACRT
Q5T7P2	LCE1A_HUMAN	LCE1A
Q5T753	LCE1E_HUMAN	LCE1E
O14633	LCE2B_HUMAN	LCE2B
Q5T5B0	LCE3E_HUMAN	LCE3E
P06239	LCK_HUMAN	LCK
P07195	LDHB_HUMAN	LDHB
Q969X1	LFG3_HUMAN	TMBIM1
Q9BXB1	LGR4_HUMAN	LGR4
P15018	LIF_HUMAN	LIF
Q8TAP4	LMO3_HUMAN	LMO3
Q6P5Q4	LMOD2_HUMAN	LMOD2
P16050	LOX15_HUMAN	ALOX15
Q9BYJ1	LOXE3_HUMAN	ALOXE3
Q9HBW0	LPAR2_HUMAN	LPAR2
Q9UBY5	LPAR3_HUMAN	LPAR3
O15165	LRAD4_HUMAN	LDLRAD4
Q8IWT6	LRC8A_HUMAN	LRRC8A
Q6NSJ5	LRC8E_HUMAN	LRRC8E
O75197	LRP5_HUMAN	LRP5
Q14114	LRP8_HUMAN	LRP8
Q9Y608	LRRF2_HUMAN	LRRFIP2
Q5S007	LRRK2_HUMAN	LRRK2
Q6UWE0	LRSM1_HUMAN	LRSAM1
P08581	MET_HUMAN	MET
P55083	MFAP4_HUMAN	MFAP4
Q13361	MFAP5_HUMAN	MFAP5
Q7RTP6	MICA3_HUMAN	MICAL3
P14174	MIF_HUMAN	MIF
Q8N5J2	MINY1_HUMAN	MINDY1
Q9Y3D0	MIP18_HUMAN	FAM96B
P53779	MK10_HUMAN	MAPK10
Q15759	MK11_HUMAN	MAPK11
Q9NXB0	MKS1_HUMAN	MKS1
Q5HYA8	MKS3_HUMAN	TMEM67
O14950	ML12B_HUMAN	MYL12B
Q15049	MLC1_HUMAN	MLC1
Q9UHC1	MLH3_HUMAN	MLH3
Q9Y4U1	MMAC_HUMAN	MMACHC
Q9H8L6	MMRN2_HUMAN	MMRN2
Q99583	MNT_HUMAN	MNT
Q96BY2	MOAP1_HUMAN	MOAP1
Q7L9L4	MOB1B_HUMAN	MOB1B
Q3SYC2	MOGT2_HUMAN	MOGAT2
Q8NCK7	MOT11_HUMAN	SLC16A11
O15427	MOT4_HUMAN	SLC16A3
Q13163	MP2K5_HUMAN	MAP2K5
Q8N3R9	MPP5_HUMAN	MPP5
Q96NY9	MUS81_HUMAN	MUS81
P53602	MVD1_HUMAN	MVD
P20591	MX1_HUMAN	MX1
P20592	MX2_HUMAN	MX2
P50539	MXI1_HUMAN	MXI1
Q96S97	MYADM_HUMAN	MYADM
P10244	MYBB_HUMAN	MYBL2
P04198	MYCN_HUMAN	MYCN
Q99836	MYD88_HUMAN	MYD88
P23409	MYF6_HUMAN	MYF6
Q8WY64	MYLIP_HUMAN	MYLIP
P28698	MZF1_HUMAN	MZF1
Q86UY6	NAA40_HUMAN	NAA40
Q02083	NAAA_HUMAN	NAAA
Q15742	NAB2_HUMAN	NAB2
P17050	NAGAB_HUMAN	NAGA
Q9H0A0	NAT10_HUMAN	NAT10
Q9UHF3	NAT8B_HUMAN	NAT8B
Q8N9F0	NAT8L_HUMAN	NAT8L
Q8IVL0	NAV3_HUMAN	NAV3
Q6BCY4	NB5R2_HUMAN	CYB5R2
Q7L1T6	NB5R4_HUMAN	CYB5R4
P41271	NBL1_HUMAN	NBL1
O60934	NBN_HUMAN	NBN
Q15080	NCF4_HUMAN	NCF4
P16333	NCK1_HUMAN	NCK1
P55160	NCKPL_HUMAN	NCKAP1L
Q15596	NCOA2_HUMAN	NCOA2
Q14686	NCOA6_HUMAN	NCOA6
O75376	NCOR1_HUMAN	NCOR1
P50851	LRBA_HUMAN	LRBA
Q2I0M4	LRC26_HUMAN	LRRC26
Q8TDW0	LRC8C_HUMAN	LRRC8C
Q96JA1	LRIG1_HUMAN	LRIG1
Q12912	LRMP_HUMAN	LRMP
Q9Y561	LRP12_HUMAN	LRP12
Q9Y333	LSM2_HUMAN	LSM2
P62310	LSM3_HUMAN	LSM3
Q6IAA8	LTOR1_HUMAN	LAMTOR1
Q0VGL1	LTOR4_HUMAN	LAMTOR4
P28300	LYOX_HUMAN	LOX
P41279	M3K8_HUMAN	MAP3K8
P33908	MA1A1_HUMAN	MAN1A1
Q9UKM7	MA1B1_HUMAN	MAN1B1
Q9NTJ4	MA2C1_HUMAN	MAN2C1
Q8WXG6	MADD_HUMAN	MADD
P43360	MAGA6_HUMAN	MAGEA6
