,interaction,partner_A_genes,partner_B_genes,celltype_A,celltype_B,is_partner_A_DE,logFC_gene_A,adj_pval_gene_A,percent_expr_gene_A,is_partner_B_DE,logFC_gene_B,adj_pval_gene_B,percent_expr_gene_B
18,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,dNK2,eEVT,False,NA,NA,"[0.2226315367982702, 0.1053095219027789, 0.0105709938335869]",True,0.478508871649511,5.36680844990792e-18,0.4285714285714285
26,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,T_cells,EVT_1,False,NA,NA,"[0.4967074317968015, 0.0484477892756349, 0.0178739416745061]",True,0.0330826663201553,1.48630025052737e-17,0.0535072792588391
34,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,VCT_CCC,eEVT,False,NA,NA,"[0.0180847909872517, 0.0880521790690779, 0.0266824785057812]",True,0.478508871649511,5.36680844990792e-18,0.4285714285714285
38,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,Plasma,EVT_1,False,NA,NA,"[0.8, 0.0156862745098039, 0.0352941176470588]",True,0.0330826663201553,1.48630025052737e-17,0.0535072792588391
58,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,dM1,EVT_1,False,NA,NA,"[0.3305198950280161, 0.1832044825874175, 0.3809490034754237]",True,0.0330826663201553,1.48630025052737e-17,0.0535072792588391
66,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,dT_regs,eEVT,False,NA,NA,"[0.2771213748657358, 0.0230934479054779, 0.005907626208378]",True,0.478508871649511,5.36680844990792e-18,0.4285714285714285
72,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,dDC,EVT_1,False,NA,NA,"[0.0590778097982708, 0.0734870317002881, 0.0821325648414985]",True,0.0330826663201553,1.48630025052737e-17,0.0535072792588391
82,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,dS1,eEVT,False,NA,NA,"[0.0206875498990278, 0.0316535950781947, 0.0259240125862959]",True,0.478508871649511,5.36680844990792e-18,0.4285714285714285
87,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,DC,EVT_1,False,NA,NA,"[0.4074605451936872, 0.2467718794835007, 0.4748923959827834]",True,0.0330826663201553,1.48630025052737e-17,0.0535072792588391
89,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5AP', 'LTC4S', 'ALOX5']",CYSLTR2,NK,EVT_1,False,NA,NA,"[0.3932909196067091, 0.0215924426450742, 0.0071332176595334]",True,0.0330826663201553,1.48630025052737e-17,0.0535072792588391
