,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin
0,CPI-CS0A5B6BD7A,12oxoLeukotrieneB4_byPTGR1_LTB4R,complex:12oxoLeukotrieneB4_byPTGR1,simple:Q15722,,LTB4R,True,False,True,user_curated,False
1,CPI-CS047D9C0D7,LeukotrieneB4_byLTA4H_LTB4R,complex:LeukotrieneB4_byLTA4H,simple:Q15722,,LTB4R,True,False,True,user_curated,False
2,CPI-CS04A56D5BE,12oxoLeukotrieneB4_byPTGR1_LTB4R2,complex:12oxoLeukotrieneB4_byPTGR1,simple:Q9NPC1,,LTB4R2,True,False,True,user_curated,False
3,CPI-CS0F5B070C5,LeukotrieneB4_byLTA4H_LTB4R2,complex:LeukotrieneB4_byLTA4H,simple:Q9NPC1,,LTB4R2,True,False,True,user_curated,False
4,CPI-CS0AFE4D0CB,LeukotrieneB4_byLTA4H_GPR17,complex:LeukotrieneB4_byLTA4H,simple:Q13304,,GPR17,True,False,True,user_curated,False
5,CPI-CS00DCACEEE,LeukotrieneC4_byLTC4S_GPR17,complex:LeukotrieneC4_byLTC4S,simple:Q13304,,GPR17,True,False,True,user_curated,False
6,CPI-CS0957C3253,LeukotrieneD4_byGGT1_GPR17,complex:LeukotrieneD4_byGGT1,simple:Q13304,,GPR17,True,False,True,user_curated,False
7,CPI-CS01FC3CF4D,LeukotrieneC4_byLTC4S_CYSLTR2,complex:LeukotrieneC4_byLTC4S,simple:Q9NS75,,CYSLTR2,True,False,True,user_curated,False
8,CPI-CS0A0F970F5,LeukotrieneD4_byGGT1_CYSLTR2,complex:LeukotrieneD4_byGGT1,simple:Q9NS75,,CYSLTR2,True,False,True,user_curated,False
9,CPI-CS0891F5216,LeukotrieneC4_byLTC4S_CYSLTR1,complex:LeukotrieneC4_byLTC4S,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
10,CPI-CS0C4ABE334,LeukotrieneD4_byGGT1_CYSLTR1,complex:LeukotrieneD4_byGGT1,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
11,CPI-CS0150916A7,LeukotrieneE4_byDPEP1_CYSLTR1,complex:LeukotrieneE4_byDPEP1,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
12,CPI-CS048E474A5,LeukotrieneE4_byDPEP2_CYSLTR1,complex:LeukotrieneE4_byDPEP2,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
13,CPI-CS0C89AD6A7,LeukotrieneE4_byDPEP3_CYSLTR1,complex:LeukotrieneE4_byDPEP3,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
14,CPI-CS087E1C654,LipoxinA4_byALOX5_CYSLTR1,complex:LipoxinA4_byALOX5,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
