,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin
0,ACVR_1A2A_receptor_INHA,"['ACVR1', 'ACVR2A']","['eEVT', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
1,ACVR_1A2A_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR1', 'ACVR2A']","['eEVT', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
1,ACVR_1A2B_receptor_INHA,"['ACVR2B', 'ACVR1']","['EVT_2', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
2,ACVR_1A2B_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR2B', 'ACVR1']","['EVT_2', 'iEVT', 'dS1', 'dS2', 'uSMC', 'Endo_M']",F-(M+F),False
2,ACVR_1B2A_receptor_GDF11,"['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT']",['GDF11'],['eEVT'],F-F,False
3,ACVR_1B2A_receptor_GDF11,['GDF11'],['eEVT'],"['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT']",F-F,False
3,ACVR_1B2A_receptor_INHA,"['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
4,ACVR_1B2A_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
4,ACVR_1B2B_receptor_GDF11,"['ACVR2B', 'ACVR1B']",['iEVT'],['GDF11'],['eEVT'],F-F,False
5,ACVR_1B2B_receptor_GDF11,['GDF11'],['eEVT'],"['ACVR2B', 'ACVR1B']",['iEVT'],F-F,False
5,ACVR_1B2B_receptor_INHA,"['ACVR2B', 'ACVR1B']",['iEVT'],['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False
6,ACVR_1B2B_receptor_INHA,['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']","['ACVR2B', 'ACVR1B']","['iEVT', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
6,ADM2_RAMP2_complex,['ADM2'],['eEVT'],"['RAMP2', 'CALCRL']","['EVT_2', 'iEVT', 'Endo_M']",F-(M+F),False
7,ADM2_RAMP2_complex,"['RAMP2', 'CALCRL']","['EVT_2', 'iEVT']",['ADM2'],['eEVT'],(M+F)-F,False
7,APOE_TREM2_receptor,['APOE'],"['GC', 'iEVT']","['TYROBP', 'TREM2']","['GC', 'dM2', 'dM1']",F-(M+F),False
8,APOE_TREM2_receptor,"['TYROBP', 'TREM2']",['GC'],['APOE'],"['GC', 'iEVT']",(M+F)-F,False
8,APP_TREM2_receptor,['APP'],"['GC', 'eEVT']","['TYROBP', 'TREM2']","['GC', 'dM2', 'dM1']",F-(M+F),False
9,APP_TREM2_receptor,"['TYROBP', 'TREM2']",['GC'],['APP'],"['GC', 'eEVT']",(M+F)-F,False
9,BMPR1A_BMPR2_BMP4,"['BMPR2', 'BMPR1A']",['eEVT'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
10,BMPR1A_BMPR2_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR2', 'BMPR1A']","['eEVT', 'dS1', 'uSMC']",F-(M+F),False
10,BMPR1B_BMPR2_BMP4,"['BMPR1B', 'BMPR2']","['GC', 'eEVT', 'iEVT']",['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1', 'dS2', 'dS3']",(M+F)-(M+F),False
11,BMPR1B_BMPR2_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1B', 'BMPR2']","['GC', 'eEVT', 'iEVT', 'dS1', 'uSMC']",(M+F)-(M+F),False
11,BMR1A_ACR2A_BMP4,"['BMPR1A', 'ACVR2A']",['eEVT'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
12,BMR1A_ACR2A_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1A', 'ACVR2A']","['eEVT', 'dS1', 'uSMC']",F-(M+F),False
12,BMR1A_AVR2B_BMP4,"['ACVR2B', 'BMPR1A']",['VCT_CCC'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
13,BMR1A_AVR2B_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['ACVR2B', 'BMPR1A']","['VCT_CCC', 'dS1', 'uSMC']",F-(M+F),False
13,BMR1B_AVR2A_BMP4,"['BMPR1B', 'ACVR2A']","['GC', 'eEVT', 'iEVT']",['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1', 'dS2', 'dS3']",(M+F)-(M+F),False
14,BMR1B_AVR2A_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1B', 'ACVR2A']","['GC', 'eEVT', 'iEVT', 'dS1', 'uSMC']",(M+F)-(M+F),False
14,BMR1B_AVR2B_BMP4,"['BMPR1B', 'ACVR2B']","['GC', 'iEVT']",['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False
15,BMR1B_AVR2B_BMP4,['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['BMPR1B', 'ACVR2B']","['GC', 'iEVT', 'dS1', 'dS2', 'uSMC']",F-(M+F),False
