,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction
0,ABCA1_APOA1,ABCA1,"['eEVT', 'iEVT', 'GC']",APOA1,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2']",F-(M+F)
1,ABCA1_APOA1,APOA1,"['EVT_2', 'eEVT', 'iEVT']",ABCA1,"['eEVT', 'iEVT', 'GC']",(M+F)-F
2,ACKR2_CCL13,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL13,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
3,ACKR2_CCL13,CCL13,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
4,ACKR2_CCL14,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
5,ACKR2_CCL14,CCL14,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
6,ACKR2_CCL2,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL2,"['GC', 'dM1', 'dM2', 'Endo_M']",F-(M+F)
7,ACKR2_CCL2,CCL2,['GC'],ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
8,ACKR2_CCL3,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
9,ACKR2_CCL3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
10,ACKR2_CCL4,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
11,ACKR2_CCL4,CCL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
12,ACKR2_CCL5,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
13,ACKR2_CCL5,CCL5,"['VCT_CCC', 'eEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
14,ACKR2_CCL7,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F)
15,ACKR2_CCL7,CCL7,"['EVT_1', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
16,ACKR2_CCL8,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F)
17,ACKR2_CCL8,CCL8,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
18,ADORA1_ENTPD1,ADORA1,['eEVT'],ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
19,ADORA1_ENTPD1,ENTPD1,"['eEVT', 'iEVT', 'GC']",ADORA1,"['eEVT', 'dM2', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
20,ADORA2B_ENTPD1,ADORA2B,"['iEVT', 'GC']",ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
21,ADORA2B_ENTPD1,ENTPD1,"['eEVT', 'iEVT', 'GC']",ADORA2B,"['iEVT', 'GC', 'dS3', 'dS2']",(M+F)-(M+F)
22,ADORA3_ENTPD1,ADORA3,"['EVT_1', 'iEVT']",ENTPD1,"['eEVT', 'iEVT', 'GC']",(M+F)-F
23,ADORA3_ENTPD1,ENTPD1,"['eEVT', 'iEVT', 'GC']",ADORA3,"['EVT_1', 'iEVT', 'dM1', 'dM2']",F-(M+F)
24,AGRN_NCAM1,AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC']",NCAM1,"['eEVT', 'dNK1', 'dNK2', 'dNK3', 'uSMC']",(M+F)-(M+F)
25,AGRN_NCAM1,NCAM1,['eEVT'],AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F)
26,AGRN_PTPRS,AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC']",PTPRS,"['eEVT', 'iEVT', 'GC', 'dS2', 'dS1', 'uSMC']",(M+F)-(M+F)
27,AGRN_PTPRS,PTPRS,"['eEVT', 'iEVT', 'GC']",AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F)
28,ANXA1_FPR3,ANXA1,"['VCT_CCC', 'EVT_1', 'EVT_2']",FPR3,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
29,ANXA1_FPR3,FPR3,"['VCT_CCC', 'EVT_2', 'iEVT']",ANXA1,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
30,APLP2_PLXNA4,APLP2,"['VCT_CCC', 'GC']",PLXNA4,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
31,APLP2_PLXNA4,PLXNA4,"['EVT_2', 'eEVT', 'iEVT']",APLP2,"['VCT_CCC', 'GC']",(M+F)-F
32,APP_PLXNA4,APP,"['eEVT', 'GC']",PLXNA4,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
33,APP_PLXNA4,PLXNA4,"['EVT_2', 'eEVT', 'iEVT']",APP,"['eEVT', 'GC']",(M+F)-F
34,APP_SORL1,APP,"['eEVT', 'GC']",SORL1,"['eEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
35,APP_SORL1,SORL1,"['eEVT', 'GC']",APP,"['eEVT', 'GC']",(M+F)-F
36,ATP6AP2_REN,ATP6AP2,"['EVT_1', 'iEVT', 'GC']",REN,"['GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F)
37,ATP6AP2_REN,REN,['GC'],ATP6AP2,"['EVT_1', 'iEVT', 'GC', 'dM1', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
