,0
0,WNT6
1,CD24
2,CD47
3,TNFRSF12A
4,LRPAP1
5,SLC3A2
6,PLAU
7,TMED2
8,CXCL2
9,NOTCH1
10,BST1
11,PDGFA
12,NGF
13,DPP4
14,JAML
15,HLA-C
16,CNTNAP1
17,DLL4
18,TGFB1
19,IGFLR1
20,EFNA4
21,PVR
22,PRL
23,IGFBP3
24,RBP4
25,BSG
26,IL7R
27,DLL1
28,NECTIN2
29,ACKR2
30,PTGFRN
31,ERBB3
32,HBEGF
33,NOTCH4
34,HFE
35,RNASET2
36,WNT7A
37,TNFRSF10D
38,FTH1
39,VLDLR
40,OPRK1
41,PLAUR
42,FTL
43,ANXA1
44,BTN3A1
45,CCL3L1
46,VSIR
47,TMEM219
48,EFNA3
49,CD55
50,LRRC15
51,TEK
52,CXCR6
53,ADM
54,TGFA
55,CD226
56,CCL3
57,PLXND1
58,DSC2
59,TYRO3
60,NCAM1
61,LILRB1
62,ACKR3
63,FGFR3
64,UNC5B
65,WNT3A
66,DSG2
67,ANGPT4
68,TGFB3
69,CSF1R
70,KLRC1
71,ROBO2
72,KIT
73,LEP
74,SEMA3F
75,ADORA1
76,CXCL12
77,EPHA1
78,LILRB2
79,GH2
80,JAG1
81,ERBB4
82,SFRP4
83,FLT4
84,FGF1
85,NGFR
86,NTRK3
87,CCR1
88,XCL1
89,CD93
90,TNFRSF1B
91,ADGRE2
92,OPRM1
93,ADORA2B
94,ESR1
95,DKK1
96,EFNB1
97,DLK1
98,CYP19A1
99,FGFR1
100,XCL2
101,CD200
102,PGR
103,TNFSF10
104,SEMA4C
105,BST2
106,PILRA
107,CD2
108,CSF1
109,CXCR4
110,HLA-E
111,PSAP
112,WNT2B
113,JAM2
114,TAC3
115,HSD3B1
116,FLT1
117,REN
118,HLA-G
119,WNT2
120,SEMA3A
121,CLEC2D
122,GP6
123,LDLR
124,PDCD1LG2
125,KLRC2
