,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin,comments
1,ACVR_1A2B_receptor_INHA,"['ACVR2B', 'ACVR1']","['EVT_2', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False,nan
4,ACVR_1B2B_receptor_GDF11,"['ACVR2B', 'ACVR1B']",['iEVT'],['GDF11'],['eEVT'],F-F,False,nan
5,ACVR_1B2B_receptor_INHA,"['ACVR2B', 'ACVR1B']",['iEVT'],['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False,nan
7,ADM2_RAMP2_complex,"['RAMP2', 'CALCRL']","['EVT_2', 'iEVT']",['ADM2'],['eEVT'],(M+F)-F,False,nan
22,COL11A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL11A1'],"['GC', 'iEVT']",(M+F)-F,True,nan
25,COL15A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL15A1'],"['GC', 'iEVT']",(M+F)-F,True,nan
28,COL17A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT']",(M+F)-F,True,nan
31,COL19A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL19A1'],"['GC', 'eEVT']",(M+F)-F,True,nan
34,COL1A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL1A1'],['GC'],(M+F)-F,True,nan
37,COL1A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL1A2'],['GC'],(M+F)-F,True,nan
40,COL21A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL21A1'],['eEVT'],(M+F)-F,True,nan
43,COL26A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL26A1'],"['GC', 'eEVT']",(M+F)-F,True,nan
46,COL27A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL27A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC']",(M+F)-F,True,nan
