,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin,comments
3,ACVR_1B2A_receptor_GDF11,['GDF11'],['eEVT'],"['ACVR1B', 'ACVR2A']","['eEVT', 'iEVT']",F-F,False,nan
5,ACVR_1B2B_receptor_GDF11,['GDF11'],['eEVT'],"['ACVR2B', 'ACVR1B']",['iEVT'],F-F,False,nan
6,ADM2_RAMP2_complex,['ADM2'],['eEVT'],"['RAMP2', 'CALCRL']","['EVT_2', 'iEVT', 'Endo_M']",F-(M+F),False,nan
9,BMPR1A_BMPR2_BMP4,"['BMPR2', 'BMPR1A']",['eEVT'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False,CellSign_eEVT_BNPR1A_BMPR2
11,BMR1A_ACR2A_BMP4,"['BMPR1A', 'ACVR2A']",['eEVT'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,False,nan
16,CD94:NKG2A_HLA-E,"['KLRD1', 'KLRC1']",['eEVT'],['HLA-E'],"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,False,nan
19,CDH1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['CDH1'],"['VCT_CCC', 'eEVT', 'GC', 'dNK1', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True,nan
24,COL11A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL11A1'],"['GC', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",(M+F)-(M+F),True,nan
27,COL15A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL15A1'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True,nan
30,COL17A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M']",(M+F)-(M+F),True,nan
33,COL19A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL19A1'],"['GC', 'eEVT', 'dNK1', 'uSMC', 'Endo_M', 'dS1', 'dM2']",(M+F)-(M+F),True,nan
36,COL1A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL1A1'],"['GC', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True,nan
39,COL1A2_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL1A2'],"['GC', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True,nan
39,COL21A1_integrin_a11b1_complex,['COL21A1'],['eEVT'],"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True,nan
40,COL21A1_integrin_a1b1_complex,['COL21A1'],['eEVT'],"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True,nan
41,COL21A1_integrin_a2b1_complex,['COL21A1'],['eEVT'],"['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True,nan
42,COL21A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL21A1'],"['eEVT', 'dS1', 'uSMC', 'Endo_M']",(M+F)-(M+F),True,nan
45,COL26A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL26A1'],"['GC', 'eEVT', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True,nan
48,COL27A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL27A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC', 'dS1', 'dS2', 'uSMC']",(M+F)-(M+F),True,nan
51,COL3A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL3A1'],"['GC', 'EVT_2', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True,nan
54,COL4A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True,nan
57,COL4A2_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True,nan
60,COL5A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL5A1'],"['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True,nan
63,COL5A2_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL5A2'],"['GC', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True,nan
66,COL6A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL6A1'],"['GC', 'eEVT', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True,nan
69,COL6A2_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL6A2'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True,nan
