,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction,comments,taking_or_not,taking_as(doesnt_matter_so_much),extra_comments
7,ACKR2_CCL2,CCL2,['GC'],ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F,nan,no,,
20,ADORA2B_ENTPD1,ADORA2B,"['iEVT', 'GC']",ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,"iEVT_and_dNK1_dM,GC_and_uSMC",
37,ATP6AP2_REN,REN,['GC'],ATP6AP2,"['EVT_1', 'iEVT', 'GC', 'dM1', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F),nan,yes,GC_and_iEVT_GC_dS1,
84,CD200_CD200R1,CD200,"['EVT_2', 'iEVT', 'GC']",CD200R1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK3', 'dM1', 'dM2']",F-(M+F),nan,yes,GC_iEVT_and_iEVT_dM,
88,CD2_CD58,CD2,['GC'],CD58,"['eEVT', 'GC']",F-F,nan,yes,GC_and_GC,
91,CD33_GP6,GP6,"['iEVT', 'GC']",CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F),Jarrods_inter,yes,iEVT_GC_and_dM,
93,CD33_GPVI,GP6,"['iEVT', 'GC']",CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F),nan,no,,same as above
109,CD99_PILRA,PILRA,['GC'],CD99,"['VCT_CCC', 'EVT_1', 'dNK1', 'dNK2', 'dNK3', 'dS3', 'dS1']",(M+F)-(M+F),nan,no,,partners too far in space
123,CEACAM4_PDCD1LG2,PDCD1LG2,"['iEVT', 'GC']",CEACAM4,"['EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F),Jarrods_inter,yes,GC_and_iEVT,CEACAM4 % too low
125,CEAM4_PDCD1LG2,PDCD1LG2,"['iEVT', 'GC']",CEACAM4,"['EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F),nan,no,,same as above
129,CSF1R_CSF1,CSF1,['GC'],CSF1R,"['EVT_1', 'EVT_2', 'eEVT', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,GC_and_dM,
137,CXCL12_CXCR4,CXCR4,"['iEVT', 'GC']",CXCL12,"['eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F),nan,yes,iEVT_GC_and_dS2_dS1,
139,CXCL14_CXCR4,CXCR4,"['iEVT', 'GC']",CXCL14,"['EVT_2', 'eEVT', 'iEVT', 'dNK1', 'dS3', 'dS2']",(M+F)-(M+F),nan,yes,iEVT_and_iEVT_dS3_dS2,
144,DLK1_NOTCH2,DLK1,['GC'],NOTCH2,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'dS1', 'uSMC']",(M+F)-(M+F),CellSign_iEVT_and_EVT_2_NOTCH2,yes,GC_and_iEVT_uSMC,
146,DLK1_NOTCH3,DLK1,['GC'],NOTCH3,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),CellSign_VCT_CCC_NOTCH3,yes,GC_and_dS1_uSMC,
148,DLK1_NOTCH4,DLK1,['GC'],NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F),nan,no,,
203,EPHA2_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHA2,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M']",F-(M+F),Jarrods_inter,yes,EVT_2_iEVT_GC_and_dS3_dS2_Endo_M,
