,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction,comments
2,ACKR2_CCL13,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL13,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2']",(M+F)-(M+F),nan
3,ACKR2_CCL13,CCL13,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2']",(M+F)-(M+F),nan
4,ACKR2_CCL14,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F),nan
5,ACKR2_CCL14,CCL14,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F,nan
6,ACKR2_CCL2,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL2,"['GC', 'dM1', 'dM2', 'Endo_M']",F-(M+F),nan
8,ACKR2_CCL3,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan
10,ACKR2_CCL4,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F),nan
11,ACKR2_CCL4,CCL4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F,nan
12,ACKR2_CCL5,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F),nan
14,ACKR2_CCL7,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F),nan
16,ACKR2_CCL8,ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F),nan
17,ACKR2_CCL8,CCL8,"['EVT_1', 'EVT_2', 'iEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F,nan
28,ANXA1_FPR3,ANXA1,"['VCT_CCC', 'EVT_1', 'EVT_2']",FPR3,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F),nan
42,BSG_PPIA,BSG,"['VCT_CCC', 'EVT_1', 'EVT_2']",PPIA,"['VCT_CCC', 'EVT_1', 'GC', 'dNK3', 'dM1', 'dS3', 'dS2']",(M+F)-(M+F),nan
48,BTN3A1_CSF1R,BTN3A1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F,Jarrods_inter
54,CCL3L1_CCR1,CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F,nan
56,CCL3L1_CCR3,CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC']",F-F,nan
67,CCR1_CCL14,CCL14,"['EVT_1', 'EVT_2', 'iEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F,nan
69,CCR1_CCL26,CCL26,['iEVT'],CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F,nan
73,CCR1_CCL8,CCL8,"['EVT_1', 'EVT_2', 'iEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F,nan
75,CCR3_CCL13,CCL13,"['EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan
77,CCR3_CCL14,CCL14,"['EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F,nan
79,CCR3_CCL26,CCL26,['iEVT'],CCR3,"['eEVT', 'GC']",(M+F)-F,nan
83,CCR3_CCL8,CCL8,"['EVT_1', 'EVT_2', 'iEVT']",CCR3,"['eEVT', 'GC']",(M+F)-F,nan
85,CD200_CD200R1,CD200R1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CD200,"['EVT_2', 'iEVT', 'GC']",(M+F)-F,nan
87,CD226_NECTIN2,NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CD226,"['eEVT', 'dNK3', 'dM1', 'dM2', 'dS1', 'uSMC']",F-(M+F),nan
90,CD33_GP6,CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",GP6,"['iEVT', 'GC']",(M+F)-F,Jarrods_inter
92,CD33_GPVI,CD33,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",GP6,"['iEVT', 'GC']",(M+F)-F,nan
97,CD47_SIRPG,SIRPG,"['EVT_2', 'iEVT']",CD47,"['VCT_CCC', 'EVT_1']",(M+F)-F,nan
98,CD55_ADGRE2,CD55,"['VCT_CCC', 'EVT_1', 'EVT_2']",ADGRE2,"['EVT_2', 'eEVT', 'dM1', 'dM2']",(M+F)-(M+F),Jarrods_inter
100,CD55_ADGRE5,CD55,"['VCT_CCC', 'EVT_1', 'EVT_2']",ADGRE5,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'uSMC']",(M+F)-(M+F),nan
121,CEACAM1_SELE,SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",CEACAM1,"['VCT_CCC', 'iEVT']",(M+F)-F,nan
122,CEACAM4_PDCD1LG2,CEACAM4,"['EVT_2', 'iEVT']",PDCD1LG2,"['iEVT', 'GC']",(M+F)-F,Jarrods_inter
124,CEAM4_PDCD1LG2,CEACAM4,"['EVT_2', 'iEVT']",PDCD1LG2,"['iEVT', 'GC']",(M+F)-F,nan
132,CXCL11_ACKR3,CXCL11,"['EVT_2', 'iEVT']",ACKR3,['eEVT'],(M+F)-F,nan
134,CXCL11_DPP4,CXCL11,"['EVT_2', 'iEVT']",DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F,nan
149,DLK1_NOTCH4,NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",DLK1,['GC'],(M+F)-F,nan
150,DLL1_NOTCH1,DLL1,"['VCT_CCC', 'EVT_1', 'EVT_2']",NOTCH1,"['VCT_CCC', 'dNK3', 'dM2', 'Endo_M']",(M+F)-(M+F),CellSign_VCT_CCC_NOTCH1
