peak_id,highly_variable
chr1:999901-1000393,True
chr1:1019192-1019792,True
chr1:1073233-1074498,True
chr1:1079363-1080404,True
chr1:1115778-1116666,True
chr1:1122924-1123361,True
chr1:1125389-1125691,True
chr1:1128503-1129061,True
chr1:1231453-1232614,True
chr1:1281879-1282442,True
chr1:1307589-1308732,True
chr1:1324307-1325124,True
chr1:1347946-1348258,True
chr1:1348986-1349832,True
chr1:1358508-1359016,True
chr1:1374757-1375732,True
chr1:1406876-1408266,True
chr1:1431626-1432179,True
chr1:1435470-1435795,True
chr1:1470741-1471872,True
chr1:1511418-1512236,True
chr1:1573957-1575265,True
chr1:1615019-1615964,True
chr1:1906822-1907697,True
chr1:1918916-1919893,True
chr1:2044828-2045103,True
chr1:2049883-2050531,True
chr1:2088441-2088792,True
chr1:2104420-2105442,True
chr1:2133058-2133760,True
chr1:2134999-2135760,True
chr1:2189137-2190079,True
chr1:2194601-2195453,True
chr1:2199292-2199519,True
chr1:2204719-2205603,True
chr1:2227187-2228131,True
chr1:2284977-2285328,True
chr1:2306479-2306794,True
chr1:2316496-2316923,True
chr1:2391101-2392137,True
chr1:2412083-2412915,True
chr1:2545823-2546441,True
chr1:3453822-3454847,True
chr1:3466926-3467697,True
chr1:3471449-3472025,True
chr1:3483517-3484145,True
chr1:3542979-3543946,True
chr1:3624250-3625118,True
chr1:3856747-3857755,True
chr1:3871388-3871647,True
chr1:4668802-4669119,True
chr1:5991909-5992751,True
chr1:6058642-6059406,True
chr1:6157128-6157422,True
chr1:6205006-6206430,True
chr1:6235295-6236407,True
chr1:6382424-6382718,True
chr1:6393068-6394159,True
chr1:6474426-6474963,True
chr1:6490475-6490725,True
chr1:6515723-6516260,True
chr1:6724473-6725130,True
chr1:6753682-6754184,True
chr1:6784201-6785538,True
chr1:6810027-6810867,True
chr1:6836716-6837199,True
chr1:6851955-6852798,True
chr1:7401764-7402334,True
chr1:7470753-7472004,True
chr1:7770885-7771753,True
chr1:7783398-7784367,True
chr1:7961171-7962011,True
chr1:8025684-8027029,True
chr1:8211723-8212377,True
chr1:8348704-8349242,True
chr1:8449307-8449987,True
chr1:8789353-8789859,True
chr1:8817492-8818182,True
chr1:9038915-9039704,True
chr1:9071361-9072284,True
chr1:9128797-9129780,True
chr1:9234216-9235103,True
chr1:9322441-9323153,True
chr1:9428559-9429237,True
chr1:9443865-9444431,True
chr1:9538910-9540314,True
chr1:9909908-9911047,True
chr1:10032355-10033450,True
chr1:10058636-10059299,True
chr1:10209829-10211203,True
chr1:10430208-10430892,True
chr1:10730978-10731480,True
chr1:11011812-11013236,True
chr1:11059547-11060317,True
chr1:11676303-11676675,True
chr1:11719343-11719990,True
chr1:11735699-11736647,True
chr1:11805364-11806497,True
chr1:11979789-11980590,True
chr1:12019082-12019613,True
chr1:12131736-12132447,True
chr1:12153199-12153861,True
chr1:12453977-12454204,True
chr1:12462477-12462844,True
