peak_id,highly_variable
chr1:938156-938411,True
chr1:966208-966555,True
chr1:1063857-1064119,True
chr1:1125389-1125691,True
chr1:1128503-1129061,True
chr1:1231453-1232614,True
chr1:1307589-1308732,True
chr1:1348986-1349832,True
chr1:1358508-1359016,True
chr1:1433133-1433492,True
chr1:1435470-1435795,True
chr1:1470741-1471872,True
chr1:1573957-1575265,True
chr1:1615019-1615964,True
chr1:1918916-1919893,True
chr1:2044828-2045103,True
chr1:2049883-2050531,True
chr1:2088441-2088792,True
chr1:2189137-2190079,True
chr1:2199292-2199519,True
chr1:2227187-2228131,True
chr1:2229298-2229613,True
chr1:2284977-2285328,True
chr1:2306479-2306794,True
chr1:2316496-2316923,True
chr1:2391101-2392137,True
chr1:2441495-2442038,True
chr1:2494339-2494584,True
chr1:2545823-2546441,True
chr1:2683938-2684258,True
chr1:3466926-3467697,True
chr1:3482054-3482666,True
chr1:3483517-3484145,True
chr1:3618971-3619212,True
chr1:3624250-3625118,True
chr1:3703294-3703893,True
chr1:3871388-3871647,True
chr1:4668802-4669119,True
chr1:4675321-4675913,True
chr1:4838293-4838506,True
chr1:6058642-6059406,True
chr1:6157128-6157422,True
chr1:6205006-6206430,True
chr1:6235295-6236407,True
chr1:6260857-6261204,True
chr1:6382424-6382718,True
chr1:6414914-6415140,True
chr1:6472052-6472401,True
chr1:6490475-6490725,True
chr1:6515723-6516260,True
chr1:6622439-6622711,True
chr1:6733363-6733794,True
chr1:6810027-6810867,True
chr1:6836716-6837199,True
chr1:7401764-7402334,True
chr1:7783398-7784367,True
chr1:7961171-7962011,True
chr1:8106875-8107381,True
chr1:8120505-8121199,True
chr1:8206430-8206724,True
chr1:8223288-8223624,True
chr1:8230410-8230630,True
chr1:8317951-8318222,True
chr1:8347459-8347944,True
chr1:8348704-8349242,True
chr1:8449307-8449987,True
chr1:8789353-8789859,True
chr1:8817492-8818182,True
chr1:9071361-9072284,True
chr1:9093979-9094394,True
chr1:9128797-9129780,True
chr1:9249811-9250102,True
chr1:9389968-9390199,True
chr1:9473070-9473365,True
chr1:9491085-9491321,True
chr1:9958858-9959525,True
chr1:10032355-10033450,True
chr1:10058636-10059299,True
chr1:10507496-10507745,True
chr1:10730978-10731480,True
chr1:10890447-10891099,True
chr1:11059547-11060317,True
chr1:11272752-11273774,True
chr1:11676303-11676675,True
chr1:11719343-11719990,True
chr1:11979789-11980590,True
chr1:12031268-12031479,True
chr1:12131736-12132447,True
chr1:12153199-12153861,True
chr1:12453977-12454204,True
chr1:12579044-12579497,True
chr1:12585604-12586078,True
chr1:12595750-12596800,True
chr1:12618092-12618594,True
chr1:12740889-12741139,True
chr1:12757737-12758213,True
chr1:12762751-12763057,True
chr1:13715640-13715880,True
chr1:13801162-13801592,True
chr1:15016425-15016899,True
chr1:15087360-15087920,True
chr1:15128571-15129073,True
chr1:15356163-15357158,True
chr1:15429590-15430080,True
chr1:15430318-15430533,True
chr1:15618659-15618963,True
chr1:15681670-15681944,True
chr1:15725406-15725813,True
chr1:15820280-15821198,True
chr1:15834346-15835200,True
chr1:15835493-15836232,True
chr1:15847148-15847963,True
chr1:15849260-15849604,True
chr1:15886267-15886653,True
chr1:16089013-16089267,True
chr1:16254515-16254870,True
chr1:16379212-16379644,True
chr1:16464579-16465446,True
chr1:16499669-16500154,True
chr1:16519738-16519955,True
chr1:16604678-16605879,True
chr1:16861765-16862054,True
chr1:16904573-16905414,True
chr1:16952830-16953083,True
chr1:16980568-16981364,True
chr1:17015772-17016516,True
chr1:17059640-17059933,True
chr1:17162683-17163304,True
chr1:17167530-17168496,True
chr1:17200337-17201064,True
chr1:17218983-17219196,True
chr1:17315593-17316092,True
chr1:17441444-17441857,True
chr1:17460100-17460514,True
chr1:17468348-17469302,True
chr1:17519977-17520445,True
chr1:17553823-17554337,True
chr1:19009785-19010243,True
chr1:19395757-19396006,True
chr1:19484900-19486208,True
chr1:19596365-19597797,True
chr1:19653704-19654045,True
chr1:19866814-19867121,True
chr1:20216673-20216969,True
chr1:20522343-20522616,True
chr1:20602904-20603676,True
chr1:20613491-20614208,True
chr1:20717431-20718235,True
chr1:20786163-20787545,True
chr1:21232047-21232280,True
chr1:21251735-21252525,True
chr1:21254599-21254894,True
chr1:21467946-21468382,True
chr1:21508453-21509351,True
chr1:21622270-21622780,True
chr1:21782525-21783836,True
chr1:21785908-21786247,True
chr1:21944404-21944899,True
chr1:21951405-21951816,True
chr1:22052403-22053621,True
chr1:22142296-22143394,True
chr1:22451427-22452476,True
chr1:23089786-23090415,True
chr1:23435920-23437122,True
chr1:23448893-23449702,True
chr1:23483975-23484826,True
chr1:23496487-23496772,True
chr1:23539691-23540307,True
chr1:23556671-23557061,True
chr1:23585352-23586051,True
chr1:23591624-23591917,True
chr1:23600099-23600920,True
chr1:23691306-23691935,True
chr1:23799442-23800331,True
chr1:23904501-23904998,True
