gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cells	DC	EVT_1	EVT_2	Endo_F	Endo_L	Endo_M	GC	Granulocytes	HOFB	ILC3	M3	MO	NK	PV	Plasma	SCT	T_cells	VCT	VCT_CCC	VCT_fusing	VCT_p	dDC	dEpi_lumenal	dEpi_secretory	dM1	dM2	dNK1	dNK2	dNK3	dS1	dS2	dS3	dT_cells	dT_regs	eEVT	fF1	fF2	iEVT	uSMC
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.06	0.104	0.21	0.15	0.248	0.293	0.455	0.0	0.07	0.372	0.088	0.166	0.063	0.026	0.624	0.144	0.105	0.035	0.354	0.262	0.093	0.477	0.163	0.784	0.611	0.228	0.266	0.076	0.058	0.058	0.503	0.445	0.571	0.033	0.043	0.0	0.298	0.374	0.105	0.459
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.06	0.104	0.21	0.15	0.248	0.293	0.455	0.0	0.07	0.372	0.088	0.166	0.063	0.026	0.624	0.144	0.105	0.035	0.354	0.262	0.093	0.477	0.163	0.784	0.611	0.228	0.266	0.076	0.058	0.058	0.503	0.445	0.571	0.033	0.043	0.0	0.298	0.374	0.105	0.459
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.056	0.074	2.388	2.108	0.379	0.177	0.214	1.528	0.021	0.294	0.073	0.119	0.162	0.044	0.133	0.108	7.583	0.009	1.358	1.961	8.949	1.043	0.071	0.103	0.128	0.122	0.262	0.139	0.088	0.098	0.247	0.363	0.512	0.031	0.042	0.467	0.255	0.45	1.699	0.406
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	0.003	0.0	0.001	0.003	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.003	0.003
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.006	0.007	0.003	0.007	0.023	0.047	0.035	0.0	0.172	0.044	0.005	0.065	0.021	0.003	0.03	0.0	0.003	0.004	0.003	0.001	0.001	0.003	0.009	0.025	0.007	0.054	0.059	0.004	0.003	0.008	0.035	0.026	0.021	0.002	0.004	0.0	0.022	0.021	0.005	0.058
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.006	0.007	0.003	0.007	0.023	0.047	0.035	0.0	0.172	0.044	0.005	0.065	0.021	0.003	0.03	0.0	0.003	0.004	0.003	0.001	0.001	0.003	0.009	0.025	0.007	0.054	0.059	0.004	0.003	0.008	0.035	0.026	0.021	0.002	0.004	0.0	0.022	0.021	0.005	0.058
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.006	0.007	0.003	0.007	0.023	0.047	0.035	0.0	0.172	0.044	0.005	0.065	0.021	0.003	0.03	0.0	0.003	0.004	0.003	0.001	0.001	0.003	0.009	0.025	0.007	0.054	0.059	0.004	0.003	0.008	0.035	0.026	0.021	0.002	0.004	0.0	0.022	0.021	0.005	0.058
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.117	0.2	0.147	0.638	0.248	0.23	0.193	0.247	0.133	0.504	0.142	0.228	0.229	0.107	0.122	0.101	1.476	0.061	0.154	0.209	0.22	0.167	0.22	0.129	0.307	0.375	0.587	0.125	0.111	0.105	0.164	0.179	0.138	0.078	0.067	0.195	0.096	0.177	0.873	0.263
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.117	0.2	0.147	0.638	0.248	0.23	0.193	0.247	0.133	0.504	0.142	0.228	0.229	0.107	0.122	0.101	1.476	0.061	0.154	0.209	0.22	0.167	0.22	0.129	0.307	0.375	0.587	0.125	0.111	0.105	0.164	0.179	0.138	0.078	0.067	0.195	0.096	0.177	0.873	0.263
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.117	0.2	0.147	0.638	0.248	0.23	0.193	0.247	0.133	0.504	0.142	0.228	0.229	0.107	0.122	0.101	1.476	0.061	0.154	0.209	0.22	0.167	0.22	0.129	0.307	0.375	0.587	0.125	0.111	0.105	0.164	0.179	0.138	0.078	0.067	0.195	0.096	0.177	0.873	0.263
