uniprot,protein_name,transmembrane,peripheral,secreted,secreted_desc,secreted_highlight,receptor,receptor_desc,integrin,other,other_desc,tags,tags_reason,tags_description,pfam
A0A584,TVBK2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BXU3,TX13A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q15031,SYLM_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6PKC3,TXD11_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P40222,TXLNA_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8N3L3,TXLNB_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q86VQ3,TXND2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8NBS9,TXND5_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O14530,TXND9_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BZA5,TXNG2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O43396,TXNL1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q16563,SYPL1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P04818,TYSY_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9NV66,TYW1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P47897,SYQ_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q13432,U119A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q6QN14,U17L6_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
C9JLJ4,U17LD_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
D6RBQ6,U17LH_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
D6R9N7,U17LI_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
D6RCP7,U17LJ_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
D6R901,U17LL_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q16560,U1SBP_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P26368,U2AF2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P54136,SYRC_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q8IWF7,U2D2L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
H0YL09,U2Q2L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
A1L167,U2QL1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BZF9,UACA_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P62837,UB2D2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P51965,UB2E1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P62253,UB2G1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P68036,UB2L3_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q712K3,UB2R2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
F5GYI3,UBA1L_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9BSL1,UBAC1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9NZ09,UBAP1_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q5T6F2,UBAP2_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P49591,SYSC_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P49459,UBE2A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
P61088,UBE2N_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q16763,UBE2S_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9NPD8,UBE2T_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q9H832,UBE2Z_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q05086,UBE3A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q7Z3V4,UBE3B_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q15386,UBE3C_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q7Z6J8,UBE3D_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
Q14139,UBE4A_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
O95155,UBE4B_HUMAN,False,False,False,nan,False,False,nan,False,False,nan,To_add,nan,nan,nan
