peak_id,peak_width,exon,gene,promoter,annotation,gene_name,gene_id,tss_distance,ENCODE_blacklist,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,contains_primed_enhancers,contains_active_enhancers,contains_repressed_enhancers,highly_variable,contains_primed_enhancers_2nd_and_3rd_trimester,contains_active_enhancers_2nd_and_3rd_trimester,contains_repressed_enhancers_2nd_and_3rd_trimester
chr1:999901-1000393,493,1,1,1,exon,ISG15,ENSG00000187608,0,0,246,0.032883305,0.032354217,96.71166956289268,246.0,5.5093884,0,0,0,True,0,0,0
chr1:1019192-1019792,601,0,0,1,promoter,AGRN,ENSG00000188157,330,0,300,0.04010159,0.039318394,95.9898409303569,300.0,5.7071104,1,0,1,True,1,0,1
chr1:1073233-1074498,1266,1,1,1,exon,RNF223,ENSG00000237330,0,0,692,0.092501,0.088469565,90.74989974602326,692.0,6.54103,0,1,0,True,0,1,0
chr1:1079363-1080404,1042,0,0,0,intergenic,nan,nan,3667,0,537,0.071781844,0.06932254,92.82181526533886,537.0,6.2878585,0,1,0,True,0,1,0
chr1:1115778-1116666,889,1,1,1,exon,C1orf159,ENSG00000131591,0,0,481,0.064296216,0.06231375,93.57037829167224,481.0,6.177944,0,0,1,True,0,0,1
chr1:1122924-1123361,438,0,0,0,intergenic,nan,nan,6562,0,212,0.028338457,0.02794435,97.1661542574522,212.0,5.3612924,0,0,1,True,0,0,1
chr1:1125389-1125691,303,0,0,0,intergenic,nan,nan,9027,0,157,0.0209865,0.020769317,97.90135008688678,157.0,5.062595,0,1,0,True,0,0,0
chr1:1128503-1129061,559,0,0,0,intergenic,nan,nan,12141,0,223,0.02980885,0.029373202,97.0191150915653,223.0,5.411646,0,0,1,True,0,0,1
chr1:1231453-1232614,1162,1,1,1,exon,B3GALT6,ENSG00000176022,0,0,736,0.09838257,0.09383871,90.1617430824756,736.0,6.6025877,0,0,1,True,0,0,1
chr1:1281879-1282442,564,1,1,1,exon,SCNN1D,ENSG00000162572,0,0,175,0.023392595,0.023123182,97.6607405427082,175.0,5.170484,0,0,1,True,0,0,1
chr1:1307589-1308732,1144,1,1,1,exon,PUSL1,ENSG00000169972,0,0,759,0.10145702,0.09663387,89.85429755380297,759.0,6.6333184,1,0,0,True,0,0,0
chr1:1324307-1325124,818,1,1,1,exon,CPTP,ENSG00000224051,0,0,503,0.067237,0.065073065,93.2762999598984,503.0,6.222576,0,1,0,True,0,1,0
