GeneID	GeneSymbol	Alias	Links	Cytoband	FullName	GeneType
7040	TGFB1	CED|DPD1|LAP|TGFB|TGFbeta	MIM:190180|HGNC:HGNC:11766|Ensembl:ENSG00000105329|Vega:OTTHUMG00000182760	19q13.2	transforming growth factor beta 1	protein-coding
6615	SNAI1	SLUGH2|SNA|SNAH|SNAIL|SNAIL1|dJ710H13.1	MIM:604238|HGNC:HGNC:11128|Ensembl:ENSG00000124216|Vega:OTTHUMG00000033048	20q13.13	snail family transcriptional repressor 1	protein-coding
6935	ZEB1	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	MIM:189909|HGNC:HGNC:11642|Ensembl:ENSG00000148516|Vega:OTTHUMG00000017907	10p11.22	zinc finger E-box binding homeobox 1	protein-coding
999	CDH1	Arc-1|CD324|CDHE|ECAD|LCAM|UVO	MIM:192090|HGNC:HGNC:1748|Ensembl:ENSG00000039068|Vega:OTTHUMG00000137561	16q22.1	cadherin 1	protein-coding
7291	TWIST1	ACS3|BPES2|BPES3|CRS|CRS1|CSO|SCS|TWIST|bHLHa38	MIM:601622|HGNC:HGNC:12428|Ensembl:ENSG00000122691|Vega:OTTHUMG00000090821	7p21.1	twist family bHLH transcription factor 1	protein-coding
1499	CTNNB1	CTNNB|EVR7|MRD19|armadillo	MIM:116806|HGNC:HGNC:2514|Ensembl:ENSG00000168036|Vega:OTTHUMG00000131393	3p22.1	catenin beta 1	protein-coding
6774	STAT3	ADMIO|ADMIO1|APRF|HIES	MIM:102582|HGNC:HGNC:11364|Ensembl:ENSG00000168610|Vega:OTTHUMG00000150645	17q21.2	signal transducer and activator of transcription 3	protein-coding
6591	SNAI2	SLUG|SLUGH|SLUGH1|SNAIL2|WS2D	MIM:602150|HGNC:HGNC:11094|Ensembl:ENSG00000019549|Vega:OTTHUMG00000149912	8q11.21	snail family transcriptional repressor 2	protein-coding
3091	HIF1A	HIF-1-alpha|HIF-1A|HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8|bHLHe78	MIM:603348|HGNC:HGNC:4910|Ensembl:ENSG00000100644|Vega:OTTHUMG00000140344	14q23.2	hypoxia inducible factor 1 alpha subunit	protein-coding
207	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	MIM:164730|HGNC:HGNC:391|Ensembl:ENSG00000142208|Vega:OTTHUMG00000170795	14q32.33	AKT serine/threonine kinase 1	protein-coding
406985	MIR200C	MIRN200C|mir-200c	MIM:612092|HGNC:HGNC:31580|Ensembl:ENSG00000207713|miRBase:MI0000650	12p13.31	microRNA 200c	ncRNA
9839	ZEB2	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	MIM:605802|HGNC:HGNC:14881|Ensembl:ENSG00000169554|Vega:OTTHUMG00000187624	2q22.3	zinc finger E-box binding homeobox 2	protein-coding
4088	SMAD3	HSPC193|HsT17436|JV15-2|LDS1C|LDS3|MADH3	MIM:603109|HGNC:HGNC:6769|Ensembl:ENSG00000166949|Vega:OTTHUMG00000133230	15q22.33	SMAD family member 3	protein-coding
