peak_id,peak_width,exon,gene,promoter,annotation,gene_name,gene_id,tss_distance,ENCODE_blacklist,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,contains_primed_enhancers,contains_active_enhancers,contains_repressed_enhancers,highly_variable,mean,std,contains_primed_enhancers_2nd_and_3rd_trimester,contains_active_enhancers_2nd_and_3rd_trimester,contains_repressed_enhancers_2nd_and_3rd_trimester
chr1:999901-1000393,493,1,1,1,exon,ISG15,ENSG00000187608,0,0,246,0.032883305,0.032354217,96.71166956289268,246.0,5.5093884,0,0,0,True,0.3061026629550322,1.0743095803010212,0,0,0
chr1:1019192-1019792,601,0,0,1,promoter,AGRN,ENSG00000188157,330,0,300,0.04010159,0.039318394,95.9898409303569,300.0,5.7071104,1,0,1,True,0.4144144370271156,1.2587322204835816,1,0,1
chr1:1073233-1074498,1266,1,1,1,exon,RNF223,ENSG00000237330,0,0,692,0.092501,0.088469565,90.74989974602326,692.0,6.54103,0,1,0,True,0.5199796683250492,1.2750001161750262,0,1,0
chr1:1079363-1080404,1042,0,0,0,intergenic,nan,nan,3667,0,537,0.071781844,0.06932254,92.82181526533886,537.0,6.2878585,0,1,0,True,0.4571021130921901,1.1812093183874668,0,1,0
chr1:1115778-1116666,889,1,1,1,exon,C1orf159,ENSG00000131591,0,0,481,0.064296216,0.06231375,93.57037829167224,481.0,6.177944,0,0,1,True,0.4076255395990517,1.1702644123713977,0,0,1
chr1:1122924-1123361,438,0,0,0,intergenic,nan,nan,6562,0,212,0.028338457,0.02794435,97.1661542574522,212.0,5.3612924,0,0,1,True,0.2828046776561024,1.0449973478714467,0,0,1
chr1:1125389-1125691,303,0,0,0,intergenic,nan,nan,9027,0,157,0.0209865,0.020769317,97.90135008688678,157.0,5.062595,0,1,0,True,0.23041329611052364,1.0856582914697095,0,0,0
chr1:1128503-1129061,559,0,0,0,intergenic,nan,nan,12141,0,223,0.02980885,0.029373202,97.0191150915653,223.0,5.411646,0,0,1,True,0.3555726455693078,1.1886677387365967,0,0,1
chr1:1231453-1232614,1162,1,1,1,exon,B3GALT6,ENSG00000176022,0,0,736,0.09838257,0.09383871,90.1617430824756,736.0,6.6025877,0,0,1,True,0.4818173319065384,1.177732384386204,0,0,1
chr1:1281879-1282442,564,1,1,1,exon,SCNN1D,ENSG00000162572,0,0,175,0.023392595,0.023123182,97.6607405427082,175.0,5.170484,0,0,1,True,0.2166596692778952,0.9829715407796199,0,0,1
chr1:1307589-1308732,1144,1,1,1,exon,PUSL1,ENSG00000169972,0,0,759,0.10145702,0.09663387,89.85429755380297,759.0,6.6333184,1,0,0,True,0.4642345416387689,1.204792025992067,0,0,0
chr1:1324307-1325124,818,1,1,1,exon,CPTP,ENSG00000224051,0,0,503,0.067237,0.065073065,93.2762999598984,503.0,6.222576,0,1,0,True,0.38022627603303105,1.195454271969243,0,1,0
chr1:1347946-1348258,313,0,1,0,intron,DVL1,ENSG00000107404,696,0,210,0.028071113,0.02768434,97.19288865124985,210.0,5.351858,0,1,0,True,0.1380532567262362,0.9614853213148896,0,1,0
chr1:1348986-1349832,847,1,1,1,exon,DVL1,ENSG00000107404,0,0,544,0.07271755,0.07019519,92.72824488704718,544.0,6.300786,0,0,0,True,0.3809558867833008,1.2099979358428992,0,0,0
chr1:1358508-1359016,509,1,1,1,exon,MXRA8,ENSG00000162576,0,0,232,0.031011896,0.030540744,96.898810319476,232.0,5.4510384,1,1,1,True,0.2938672202056222,1.1065039197893907,1,1,1
chr1:1374757-1375732,976,1,1,1,exon,AURKAIP1,ENSG00000175756,0,0,727,0.097179525,0.092742816,90.2820478545649,727.0,6.590301,0,0,0,True,0.5022985325503838,1.2626299890957926,0,0,0
chr1:1406876-1408266,1391,1,1,1,exon,MRPL20,ENSG00000242485,0,0,434,0.058013633,0.056393217,94.19863654591632,434.0,6.075346,0,1,0,True,0.32245592530300016,1.1659894731484926,0,1,0
chr1:1430617-1430918,302,0,0,0,intergenic,nan,nan,3942,0,242,0.032348618,0.031836417,96.7651383504879,242.0,5.4930615,0,1,0,True,0.2255960764729646,1.0586187142603358,0,1,0
chr1:1431626-1432179,554,0,0,0,intergenic,nan,nan,2681,0,515,0.06884106,0.066574946,93.11589359711267,515.0,6.2461066,0,1,0,True,0.3993817032893403,1.1627099029655743,0,1,0
chr1:1435470-1435795,326,1,1,1,exon,VWA1,ENSG00000179403,0,0,301,0.040235262,0.0394469,95.97647373345808,301.0,5.710427,0,0,0,True,0.2837490629948523,1.23001571191346,0,0,0
chr1:1470741-1471872,1132,1,1,1,exon,ATAD3B,ENSG00000160072,0,0,345,0.04611683,0.04508505,95.38831706991044,345.0,5.846439,1,1,1,True,0.25660277045679036,1.057312328155272,1,1,1
chr1:1511418-1512236,819,1,1,1,exon,ATAD3A,ENSG00000197785,0,0,566,0.07565834,0.07293288,92.43416655527336,566.0,6.340359,0,1,0,True,0.4102531221433485,1.1857590451453248,0,1,0
chr1:1573957-1575265,1309,1,1,1,exon,SSU72,ENSG00000160075,0,0,638,0.08528271,0.081840515,91.47172837855902,638.0,6.4599047,0,1,0,True,0.42981696517102247,1.2630767251390493,0,1,0
chr1:1615019-1615964,946,1,1,1,exon,MIB2,ENSG00000197530,0,0,765,0.102259055,0.09736176,89.7740943724101,765.0,6.641182,0,1,0,True,0.4770418895887092,1.157030087885088,0,1,0
chr1:1906822-1907697,876,0,0,0,intergenic,nan,nan,7129,0,477,0.06376153,0.061811242,93.62384707926748,477.0,6.1696105,0,1,0,True,0.30131490857523513,1.1344010682968202,0,1,0
chr1:1918916-1919893,978,1,1,1,exon,TMEM52,ENSG00000178821,0,0,587,0.07846545,0.07553915,92.15345542039834,587.0,6.376727,1,0,1,True,0.3839096879211352,1.1719445825849544,1,0,1
chr1:2044828-2045103,276,0,0,0,intergenic,nan,nan,5366,0,135,0.018045716,0.017884824,98.1954284186606,135.0,4.912655,0,0,1,True,0.14421698210179015,0.9533308081453933,0,0,1
chr1:2049883-2050531,649,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,523,0.06991044,0.06757494,93.0089560219222,523.0,6.261492,0,0,0,True,0.39672990716697226,1.1792576950370055,0,0,0
chr1:2088441-2088792,352,0,1,0,intron,PRKCZ,ENSG00000067606,6192,0,138,0.018446732,0.018278655,98.15532682796416,138.0,4.934474,0,0,1,True,0.21464122333917746,1.0759138893426217,0,0,1
chr1:2104420-2105442,1023,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,821,0.10974468,0.10412997,89.02553134607672,821.0,6.7117405,0,1,0,True,0.4052583296997843,1.1311906035121535,0,1,0
chr1:2133058-2133760,703,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,740,0.09891726,0.094325386,90.10827429488036,740.0,6.6080008,0,1,0,True,0.5231414954251058,1.1618204047734069,0,1,0
chr1:2134999-2135760,762,1,1,1,exon,PRKCZ,ENSG00000067606,0,0,665,0.08889186,0.08516053,91.11081406229114,665.0,6.50129,0,1,0,True,0.441945116252462,1.2205984799807033,0,1,0
chr1:2189137-2190079,943,1,1,0,exon,FAAP20,ENSG00000162585,4028,0,656,0.08768881,0.08405509,91.23111883438042,656.0,6.4876842,1,1,1,True,0.4554508934550176,1.211162793998234,1,1,1
chr1:2194601-2195453,853,1,1,1,exon,FAAP20,ENSG00000162585,0,0,476,0.063627854,0.06168557,93.63721427616628,476.0,6.1675167,0,1,0,True,0.39062937033622197,1.214910303176381,0,1,0
chr1:2199292-2199519,228,1,1,0,exon,FAAP20,ENSG00000162585,387,0,102,0.013634541,0.013542427,98.63654591632135,102.0,4.634729,1,1,0,True,0.1728899415640837,1.0120807328836672,1,1,0
chr1:2204719-2205603,885,0,1,1,promoter,FAAP20,ENSG00000162585,836,0,405,0.054137148,0.052722562,94.58628525598182,405.0,6.0063534,0,1,1,True,0.4059350366903013,1.2359822990838296,0,1,1
chr1:2227187-2228131,945,0,0,1,promoter,SKI,ENSG00000157933,563,0,876,0.11709665,0.11073304,88.29033551664216,876.0,6.776507,0,0,0,True,0.5108862643650272,1.195968045677675,0,0,0
chr1:2284977-2285328,352,0,1,0,intron,SKI,ENSG00000157933,18317,0,100,0.013367197,0.013278644,98.66328031011898,100.0,4.6151204,0,1,0,True,0.2573413242045588,1.0518134513410422,0,1,0
chr1:2306479-2306794,316,1,1,0,exon,SKI,ENSG00000157933,2832,0,57,0.0076193023,0.007590422,99.23806977676782,57.0,4.060443,1,0,1,True,0.16062471403575201,1.0275836200583524,1,0,1
chr1:2316496-2316923,428,0,0,0,intergenic,nan,nan,12849,0,108,0.014436573,0.014333358,98.55634273492848,108.0,4.691348,0,1,0,True,0.1970411382336956,1.1562559276451398,0,1,0
chr1:2391101-2392137,1037,1,1,1,exon,RER1,ENSG00000157916,0,0,642,0.085817404,0.08233307,91.4182595909638,642.0,6.4661446,0,0,0,True,0.3726092178657633,1.167809546597115,0,0,0
chr1:2412083-2412915,833,1,1,1,exon,PEX10,ENSG00000157911,0,0,702,0.09383772,0.08969236,90.61622777703516,702.0,6.555357,0,1,0,True,0.3775107079737149,1.216235902168231,0,1,0
chr1:2545823-2546441,619,0,0,0,intergenic,nan,nan,9197,0,375,0.05012699,0.0489111,94.98730116294612,375.0,5.9295893,0,1,1,True,0.31886766126561367,1.131668710111812,0,1,1
