,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DA_MEFISTO,is_DE_and_DA,cluster,ID
ZNF174,0.0,no,yes,no,no,no,GC,GC_ZNF174
AEBP2,0.64613,no,yes,no,no,no,GC,GC_AEBP2
ZSCAN30,0.17167,no,yes,no,no,no,GC,GC_ZSCAN30
KDM5B,0.596741,no,yes,no,no,no,GC,GC_KDM5B
MSX1,0.0,no,yes,no,no,no,GC,GC_MSX1
KDM2A,0.501526,no,yes,no,no,no,GC,GC_KDM2A
UNCX,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_UNCX
TEAD1,2.746029,yes,no,no,no,no,GC,GC_TEAD1
ZNF160,0.157562,no,yes,no,no,no,GC,GC_ZNF160
ZNF175,0.0,no,yes,no,no,no,GC,GC_ZNF175
ZBTB37,0.099163,no,yes,no,no,no,GC,GC_ZBTB37
ZNF33A,0.491416,no,yes,no,no,no,GC,GC_ZNF33A
ZNF721,0.212278,no,yes,no,no,no,GC,GC_ZNF721
EBF1,0.063885,no,yes,no,no,no,GC,GC_EBF1
ZNF571,0.0,no,yes,no,no,no,GC,GC_ZNF571
ZNF236,0.118074,no,yes,no,no,no,GC,GC_ZNF236
KDM5C,0.373578,no,yes,no,no,no,GC,GC_KDM5C
ZNF280C,0.071284,no,yes,no,no,no,GC,GC_ZNF280C
FOXJ3,2.099736,no,yes,no,no,no,GC,GC_FOXJ3
HMGA1,0.134912,no,yes,no,no,no,GC,GC_HMGA1
TBX3,0.257782,no,yes,no,no,no,GC,GC_TBX3
ZNF407,0.63427,no,yes,no,no,no,GC,GC_ZNF407
PURB,0.07348,no,yes,no,no,no,GC,GC_PURB
ZNF891,0.0,no,yes,no,no,no,GC,GC_ZNF891
BHLHE41,0.0,no,yes,no,no,no,GC,GC_BHLHE41
CREBZF,0.384352,no,yes,no,no,no,GC,GC_CREBZF
MEIS2,0.270829,no,yes,no,no,no,GC,GC_MEIS2
ZNF573,0.0,no,yes,no,no,no,GC,GC_ZNF573
ZBTB38,0.626572,no,yes,no,no,no,GC,GC_ZBTB38
ZGPAT,0.0,no,yes,no,no,no,GC,GC_ZGPAT
HMX2,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_HMX2
ZNF529,0.106943,no,yes,no,no,no,GC,GC_ZNF529
PRDM2,0.430881,no,yes,no,no,no,GC,GC_PRDM2
ID1,0.226729,no,yes,no,no,no,GC,GC_ID1
PBX3,0.053951,no,yes,no,no,no,GC,GC_PBX3
ERF,0.0,no,yes,no,no,no,GC,GC_ERF
ZBTB5,0.0,no,yes,no,no,no,GC,GC_ZBTB5
KAT6B,0.493746,no,yes,no,no,no,GC,GC_KAT6B
PROX2,0.0,no,yes,no,no,no,GC,GC_PROX2
ZNF396,0.0,no,yes,no,no,no,GC,GC_ZNF396
ZNF516,0.0,no,yes,no,no,no,GC,GC_ZNF516
ZNF510,0.0,no,yes,no,no,no,GC,GC_ZNF510
IKZF2,0.25037,no,yes,no,no,no,GC,GC_IKZF2
FIZ1,0.049069,no,yes,no,no,no,GC,GC_FIZ1
NFX1,0.39481,no,yes,no,no,no,GC,GC_NFX1
ZNF805,0.049069,no,yes,no,no,no,GC,GC_ZNF805
PDX1,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_PDX1
VEZF1,0.053951,no,yes,no,no,no,GC,GC_VEZF1
ZNF248,0.433672,no,yes,no,no,no,GC,GC_ZNF248
RFX7,0.503602,no,yes,no,no,no,GC,GC_RFX7
ZBTB34,0.0,no,yes,no,no,no,GC,GC_ZBTB34
ZNF354B,0.049069,no,yes,no,no,no,GC,GC_ZNF354B
ZNF808,0.0,no,yes,no,no,no,GC,GC_ZNF808
ZNF827,0.0,no,yes,no,no,no,GC,GC_ZNF827
ZNF202,0.102218,no,yes,no,no,no,GC,GC_ZNF202
MSX2,0.0,no,yes,no,no,no,GC,GC_MSX2
ZNF254,0.044371,yes,yes,no,no,yes,GC,GC_ZNF254
ZNF621,0.119667,no,yes,no,no,no,GC,GC_ZNF621
ZNF644,0.864735,no,yes,no,no,no,GC,GC_ZNF644
HMX3,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_HMX3
ZNF493,0.0,no,yes,no,no,no,GC,GC_ZNF493
KLF7,0.108494,no,yes,no,no,no,GC,GC_KLF7
HIVEP1,0.229677,no,yes,no,no,no,GC,GC_HIVEP1
SOX1,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_SOX1
ZNF699,0.0,no,yes,no,no,no,GC,GC_ZNF699
KAT6A,0.978789,no,yes,no,no,no,GC,GC_KAT6A
ZNF81,0.049069,no,yes,no,no,no,GC,GC_ZNF81
ZNF280D,0.176723,no,yes,no,no,no,GC,GC_ZNF280D
CUX1,2.415243,yes,no,no,no,no,GC,GC_CUX1
SMAD7,0.0,no,yes,no,no,no,GC,GC_SMAD7
MEIS1,0.053951,no,yes,no,no,no,GC,GC_MEIS1
ISL2,0.0,no,yes,no,no,no,GC,GC_ISL2
TBR1,not_enough_cells_expr_limma,no,yes,no,no,no,GC,GC_TBR1
ATF7,0.0,no,yes,no,no,no,GC,GC_ATF7
SMARCC1,1.196618,no,yes,yes,no,no,GC,GC_SMARCC1
ADNP2,0.077556,no,yes,no,no,no,GC,GC_ADNP2
ZNF292,0.950692,no,yes,no,no,no,GC,GC_ZNF292
HMGXB4,0.284266,no,yes,no,no,no,GC,GC_HMGXB4
ZNF154,0.0,no,yes,no,no,no,GC,GC_ZNF154
BBX,0.781956,no,yes,no,no,no,GC,GC_BBX
ELK3,0.569829,no,yes,no,no,no,GC,GC_ELK3
ZNF793,0.0,no,yes,no,no,no,GC,GC_ZNF793
ZNF221,0.0,no,yes,no,no,no,GC,GC_ZNF221
ZNF347,0.0,no,yes,no,no,no,GC,GC_ZNF347
ZNF611,0.107986,no,yes,no,no,no,GC,GC_ZNF611
ZNF678,0.071027,no,yes,no,no,no,GC,GC_ZNF678
NCOA2,1.282047,no,yes,no,no,no,GC,GC_NCOA2
ARID4B,1.033085,no,yes,no,no,no,GC,GC_ARID4B
JARID2,0.899503,yes,no,no,no,no,GC,GC_JARID2
ZFP91,0.0,no,yes,no,no,no,GC,GC_ZFP91
ZNF131,0.324005,no,yes,no,no,no,GC,GC_ZNF131
TSC22D2,0.942815,no,yes,no,no,no,GC,GC_TSC22D2
ZNF791,0.08559,no,yes,no,no,no,GC,GC_ZNF791
ZNF700,0.0,no,yes,no,no,no,GC,GC_ZNF700
ZNF653,0.0,no,yes,no,no,no,GC,GC_ZNF653
ZNF800,0.170637,no,yes,no,no,no,GC,GC_ZNF800
ZNF507,0.085161,no,yes,no,no,no,GC,GC_ZNF507
ZNF654,0.32056,no,yes,no,no,no,GC,GC_ZNF654
RBAK,0.0,no,yes,no,no,no,GC,GC_RBAK
TEAD4,0.0,no,yes,no,no,no,GC,GC_TEAD4
ZFP14,0.063885,no,yes,no,no,no,GC,GC_ZFP14
ESX1,0.0,no,yes,no,no,no,GC,GC_ESX1
ZBTB7B,0.049069,no,yes,no,no,no,GC,GC_ZBTB7B
ZNF451,0.770567,no,yes,no,no,no,GC,GC_ZNF451
MXD3,0.0,no,yes,no,no,no,GC,GC_MXD3
ZBTB41,0.044371,no,yes,no,no,no,GC,GC_ZBTB41
ZNF585A,0.0,no,yes,no,no,no,GC,GC_ZNF585A
PHTF2,0.13487,no,yes,no,no,no,GC,GC_PHTF2
ZNF674,0.07348,no,yes,no,no,no,GC,GC_ZNF674
PBRM1,0.404198,no,yes,no,no,no,GC,GC_PBRM1
ETV7,0.0,no,yes,no,no,no,GC,GC_ETV7
HMG20A,0.112954,no,yes,no,no,no,GC,GC_HMG20A
PRDM14,0.0,no,yes,no,no,no,GC,GC_PRDM14
ZNF26,0.0,no,yes,no,no,no,GC,GC_ZNF26
GRHL2,1.239291,no,yes,no,no,no,GC,GC_GRHL2
PRDM10,0.064122,no,yes,no,no,no,GC,GC_PRDM10
ARID4A,0.329289,no,yes,no,no,no,GC,GC_ARID4A
ZNF141,0.226718,no,yes,no,no,no,GC,GC_ZNF141
ZNF84,0.107805,no,yes,no,no,no,GC,GC_ZNF84
ZNF546,0.049069,no,yes,no,no,no,GC,GC_ZNF546
ZNF548,0.0,no,yes,no,no,no,GC,GC_ZNF548
KAT7,0.0,no,yes,no,no,no,GC,GC_KAT7
PBX2,0.0,no,yes,no,no,no,GC,GC_PBX2
FOXK2,0.568146,no,yes,no,no,no,GC,GC_FOXK2
ARID1A,0.53468,no,yes,no,no,no,GC,GC_ARID1A
ZNF143,0.112255,no,yes,no,no,no,GC,GC_ZNF143
KMT2A,0.09344,no,yes,no,no,no,GC,GC_KMT2A
ZNF615,0.044371,no,yes,no,no,no,GC,GC_ZNF615
ZNF445,0.237089,no,yes,no,no,no,GC,GC_ZNF445
ZNF281,0.164295,no,yes,no,no,no,GC,GC_ZNF281
NFAT5,1.62507,no,yes,no,no,no,GC,GC_NFAT5
ZNF655,0.0,no,yes,no,no,no,GC,GC_ZNF655
TCF12,1.75644,no,yes,no,no,no,GC,GC_TCF12
ZKSCAN8,0.100643,no,yes,no,no,no,GC,GC_ZKSCAN8
PURA,0.448428,no,yes,no,no,no,GC,GC_PURA
ZNF718,0.162583,no,yes,no,no,no,GC,GC_ZNF718
ZNF566,0.036521,no,yes,no,no,no,GC,GC_ZNF566
ARNT,0.036521,yes,no,no,no,no,GC,GC_ARNT
ZNF436,0.0,no,yes,no,no,no,GC,GC_ZNF436
KLF8,0.181028,no,yes,no,no,no,GC,GC_KLF8
ZNF8,0.0,no,yes,no,no,no,GC,GC_ZNF8
ZBTB43,0.342008,no,yes,no,no,no,GC,GC_ZBTB43
ZNF227,0.0,no,yes,no,no,no,GC,GC_ZNF227
ARID1B,1.185379,no,yes,no,no,no,GC,GC_ARID1B
ZBTB44,0.10302,no,yes,no,no,no,GC,GC_ZBTB44
FOXP4,0.036521,no,yes,no,no,no,GC,GC_FOXP4
CNOT4,0.688327,no,yes,no,no,no,GC,GC_CNOT4
IKZF5,0.0,no,yes,no,no,no,GC,GC_IKZF5
MGA,0.674627,no,yes,no,no,no,GC,GC_MGA
BCL11A,0.126062,no,yes,no,no,no,GC,GC_BCL11A
HES4,0.404023,no,yes,no,no,no,GC,GC_HES4
DMTF1,0.100197,no,yes,no,no,no,GC,GC_DMTF1
GATAD2A,0.491999,no,yes,no,no,no,GC,GC_GATAD2A
UBP1,0.377109,no,yes,no,no,no,GC,GC_UBP1
RC3H2,0.32074,no,yes,no,no,no,GC,GC_RC3H2
TBX18,0.0,no,yes,no,no,no,GC,GC_TBX18
POU4F2,not_enough_cells_expr_limma,no,yes,no,yes,no,GC,GC_POU4F2
ZNF384,0.071027,no,yes,no,no,no,GC,GC_ZNF384
ELF1,0.971291,no,yes,no,no,no,GC,GC_ELF1
NCOA1,1.927072,no,yes,no,no,no,GC,GC_NCOA1
MIER3,0.17513,no,yes,no,no,no,GC,GC_MIER3
LRRFIP2,0.761652,no,yes,no,no,no,GC,GC_LRRFIP2
FOXS1,0.0,no,yes,no,no,no,GC,GC_FOXS1
FOXN3,1.004486,yes,no,no,no,no,GC,GC_FOXN3
